Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Cory Sandhagen,Cory Sandhagen,Marlon Vera,0-0,128-58,3-0,0-1,Bantamweight,S-DEC,5,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Holly Holm,Holly Holm,Yana Santos,0-0,32-21,4-0,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Nate Landwehr,Nate Landwehr,Austin Lingo,0-0,64-48,1-0,1-0,Featherweight,SUB-Rear-Naked-Choke,2,4:11
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Maycee Barber,Maycee Barber,Andrea Lee,0-0,48-39,2-5,0-0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Albert Duraev,Albert Duraev,Chidi Njokuani,0-0,45-40,2-0,0-0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Daniel Pineda,Daniel Pineda,Tucker Lutz,1-0,24-28,1-0,2-0,Featherweight,SUB-Guillotine-Choke,2,2:50
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Lucas Alexander,Lucas Alexander,Steven Peterson,1-0,85-26,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Trevin Giles,Trevin Giles,Preston Parsons,0-0,55-42,0-3,0-3,Welterweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",CJ Vergara,CJ Vergara,Daniel Lacerda,0-2,83-48,0-1,1-2,Flyweight,KO/TKO-Elbows,2,4:04
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Victor Altamirano,Victor Altamirano,Vinicius Salvador,0-0,62-47,3-1,0-0,Flyweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Leon Edwards,Leon Edwards,Kamaru Usman,0-0,120-87,0-4,0-0,Welterweight,M-DEC,5,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Justin Gaethje,Justin Gaethje,Rafael Fiziev,0-0,103-97,1-0,0-0,Lightweight,M-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Gunnar Nelson,Gunnar Nelson,Bryan Barberena,0-0,10-7,1-0,1-0,Welterweight,SUB-Armbar,1,4:51
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jennifer Maia,Jennifer Maia,Casey O'Neill,0-0,145-137,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Marvin Vettori,Marvin Vettori,Roman Dolidze,0-0,106-71,0-0,0-0,Middleweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jack Shore,Jack Shore,Makwan Amirkhani,0-0,28-10,1-1,1-0,Featherweight,SUB-Rear-Naked-Choke,2,4:27
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Chris Duncan,Chris Duncan,Omar Morales,0-0,53-47,5-0,0-0,Lightweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Yanal Ashmouz,Yanal Ashmouz,Sam Patterson,0-0,15-2,1-0,0-0,Lightweight,KO/TKO-Punches,1,1:15
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Muhammad Mokaev,Muhammad Mokaev,Jafel Filho,0-0,16-9,4-0,2-2,Flyweight,SUB-Neck-Crank,3,4:32
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Lerone Murphy,Lerone Murphy,Gabriel Santos,0-0,93-69,1-5,0-0,Featherweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Christian Duncan,Christian Duncan,Dusko Todorovic,0-0,9-4,0-0,0-0,Middleweight,KO/TKO,1,1:52
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jake Hadley,Jake Hadley,Malcolm Gordon,1-0,10-3,0-0,0-0,Flyweight,KO/TKO-Punch,1,1:01
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Joanne Wood,Joanne Wood,Luana Carolina,0-0,131-100,2-0,0-0,Women's Flyweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Draw,Jai Herbert,Ludovit Klein,0-0,43-47,1-2,0-0,Lightweight,M-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Veronica Hardy,Veronica Hardy,Juliana Miller,0-0,62-30,4-0,0-3,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Merab Dvalishvili,Merab Dvalishvili,Petr Yan,0-0,147-75,11-1,0-0,Bantamweight,U-DEC,5,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Alexander Volkov,Alexander Volkov,Alexandr Romanov,0-0,12-0,0-0,0-0,Heavyweight,KO/TKO-Punches,1,2:16
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Nikita Krylov,Nikita Krylov,Ryan Spann,0-0,7-5,2-1,2-1,Catch Weight,SUB-Triangle-Choke,1,3:38
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Jonathan Martinez,Jonathan Martinez,Said Nurmagomedov,0-0,38-47,0-3,1-2,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Mario Bautista,Mario Bautista,Guido Cannetti,0-0,3-2,3-1,1-0,Bantamweight,SUB-Rear-Naked-Choke,1,3:18
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Vitor Petrino,Vitor Petrino,Anton Turkalj,0-0,39-33,7-5,1-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Karl Williams,Karl Williams,Lukasz Brzeski,1-0,38-26,8-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Davey Grant,Davey Grant,Raphael Assuncao,1-0,65-42,0-5,1-0,Bantamweight,SUB-Inverted-Triangle,3,4:43
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Josh Fremd,Josh Fremd,Sedriques Dumas,0-0,33-20,2-0,2-0,Middleweight,SUB-Guillotine-Choke,2,3:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Victor Henry,Victor Henry,Tony Gravely,0-0,154-75,0-3,2-0,Bantamweight,S-DEC,3,5:00
